species_key,binomial,EQ_residual,EQ_z,temp_mean_C,temp_source,BMR_z,lon_z
pongo_pygmaeus,Pongo pygmaeus,0.2686619218469576,1.0614224249129005,23.771,PanTHERIA,NA,1.5498501178681374
hylobates_lar,Hylobates lar,0.450623637795604,1.7803119662954907,22.963,PanTHERIA,NA,1.6159348020157587
macaca_mulatta,Macaca mulatta,0.32489114042469636,1.283571336539235,16.880000000000003,PanTHERIA,0.3806039846594061,1.4076453735327767
macaca_fascicularis,Macaca fascicularis,0.27675554003544556,1.093398477882691,24.922,PanTHERIA,NA,1.597778402429289
papio_anubis,Papio anubis,0.3212206868595017,1.2690702055381757,24.267,PanTHERIA,NA,0.5437320870911231
chlorocebus_pygerythrus,Chlorocebus pygerythrus,0.29842897088005094,1.1790252960231777,NA,NA,NA,NA
colobus_guereza,Colobus guereza,0.17983510618761678,0.7104877877069007,23.164,PanTHERIA,0.3977713171064507,0.6784652597084628
callithrix_jacchus,Callithrix jacchus,0.15215747151224998,0.6011397196553512,24.992,PanTHERIA,-0.6130358373297885,1.17990384752833
saimiri_sciureus,Saimiri sciureus,0.44056798048069884,1.7405843409665847,25.303,PanTHERIA,1.1586131812981213,1.6238608598940223
ateles_geoffroyi,Ateles geoffroyi,0.3907341638235816,1.543702214332377,24.316000000000003,PanTHERIA,NA,0.9291289688434989
lemur_catta,Lemur catta,0.1405151599633695,0.5551435826856932,22.971000000000004,PanTHERIA,NA,1.4015081274349868
urocitellus_parryii,Urocitellus parryii,-0.49248522988868787,-1.9456976386851448,-10.36,PanTHERIA,-0.85,0.42
marmota_marmota,Marmota marmota,0.05262476644939228,0.20790853735873974,4.667000000000001,PanTHERIA,-0.5325315856437693,0.4753962388509301
castor_canadensis,Castor canadensis,-0.25601572074342865,-1.0114601476055483,3.986,PanTHERIA,NA,-0.2676198865424101
castor_fiber,Castor fiber,-0.25613188182764657,-1.0119190737490205,2.33,PanTHERIA,NA,0.5100693858190459
mus_musculus,Mus musculus,-0.2565995663153412,-1.0137667892704847,NA,NA,1.1609287359866771,0.41690951962111195
rattus_norvegicus,Rattus norvegicus,-0.3141954936040943,-1.2413152575746755,NA,NA,NA,NA
dipodomys_deserti,Dipodomys deserti,0.01595095628089889,0.06301861677664869,15.608000000000002,PanTHERIA,-0.19649213459535597,NA
hydrochoerus_hydrochaeris,Hydrochoerus hydrochaeris,-0.30474559178421645,-1.2039808350562609,23.730000000000004,PanTHERIA,-0.2566766444780761,-0.9141945772860022
equus_ferus,Equus ferus,-0.13384349337543341,-0.5287853385426642,NA,NA,NA,NA
equus_zebra,Equus zebra,-0.17464620926514718,-0.6899876307951662,14.442,PanTHERIA,NA,-0.38350030514744804
bos_taurus,Bos taurus,-0.22339819694765514,-0.8825956960898403,22.873,PanTHERIA,NA,-0.9074075056265009
bison_bison,Bison bison,-0.30835007482224464,-1.2182213314410097,-0.535,PanTHERIA,NA,-0.13372871124909383
cervus_elaphus,Cervus elaphus,-0.15781274085435013,-0.6234824084046965,2.773,PanTHERIA,NA,-0.1633682234058569
alces_alces,Alces alces,-0.18028238812064784,-0.7122548973542738,NA,NA,NA,-0.3521217411376526
capra_ibex,Capra ibex,-0.03769002446542042,-0.14890475318605748,4.276,PanTHERIA,NA,-0.0663113036282006
ovis_aries,Ovis aries,-0.11115440483306499,-0.43914588679548716,NA,NA,NA,-0.12369823550960368
giraffa_camelopardalis,Giraffa camelopardalis,-0.2857701891886433,-1.1290133156615136,23.858000000000004,PanTHERIA,NA,-0.11963423340840812
antilocapra_americana,Antilocapra americana,-0.09400838755354096,-0.37140585458951647,9.076,PanTHERIA,0.35575161615302614,-0.9097223860240982
pteropus_vampyrus,Pteropus vampyrus,0.32873688219732516,1.298764991560499,24.998,PanTHERIA,NA,NA
myotis_lucifugus,Myotis lucifugus,-0.39468481972200764,-1.5593103613108408,NA,NA,-1.111447198637929,3.385660437206276
