binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Oryctolagus cuniculus,2.1679,7.395,13.0,0.1655,-0.0299,0.9375,-0.1097,0.8278,AnAge
Canis latrans,10.1489,19.423,21.8,0.1006,0.0694,0.5697,0.2543,0.8239,AnAge
Acinonyx jubatus,38.4461,61.77,20.5,0.1851,-0.0654,1.0487,-0.2395,0.8092,AnAge
Peromyscus leucopus,0.0223,0.213,7.9,0.061,0.125,0.3455,0.4581,0.8037,AnAge
Myotis vivesi,0.025,0.199,10.0,-0.0044,0.2181,-0.0249,0.7994,0.7745,AnAge
Heterocephalus glaber,0.0353,0.128,31.0,-0.3043,0.6815,-1.7235,2.4976,0.7741,AnAge
Podomys floridanus,0.0308,0.288,7.4,0.0907,0.0704,0.5137,0.2581,0.7718,AnAge
Procyon lotor,4.8422,10.428,21.0,0.0626,0.1132,0.3548,0.4147,0.7695,AnAge
Panthera onca,50.4,62.419,28.0,0.1047,0.0481,0.5932,0.1762,0.7695,AnAge
Ondatra zibethicus,0.9763,4.363,10.0,0.1867,-0.0792,1.0573,-0.2901,0.7672,AnAge
Puma concolor,37.2,49.326,27.0,0.0978,0.0569,0.5538,0.2086,0.7625,AnAge
Galerella sanguinea,0.5196,2.202,12.6,0.0876,0.0724,0.4961,0.2652,0.7613,AnAge
Otolemur crassicaudatus,0.9935,2.595,22.7,-0.0445,0.2754,-0.2519,1.0095,0.7576,AnAge
Pteropus hypomelanus,0.5208,1.618,20.3,-0.047,0.2793,-0.2661,1.0236,0.7575,AnAge
Mus musculus,0.018,0.271,4.0,0.2328,-0.1532,1.3186,-0.5614,0.7572,AnAge
Tamias minimus,0.0493,0.349,10.0,0.0265,0.163,0.1503,0.5975,0.7478,AnAge
Apodemus flavicollis,0.0283,0.365,4.5,0.2202,-0.1387,1.247,-0.5084,0.7386,AnAge
Lemmus lemmus,0.08,1.071,3.3,0.3616,-0.3577,2.0482,-1.311,0.7372,AnAge
Mus minutoides,0.008,0.129,4.3,0.1649,-0.056,0.9338,-0.2052,0.7286,AnAge
Ursus maritimus,371.7038,247.5837,43.8,0.0762,0.0803,0.4317,0.2944,0.7261,AnAge
Dipodomys ordii,0.0478,0.339,9.9,0.0236,0.1612,0.1337,0.5907,0.7243,AnAge
Phyllostomus discolor,0.0335,0.267,9.0,0.0314,0.1486,0.1781,0.5447,0.7228,AnAge
Genetta tigrina,1.699,4.189,21.3,-0.0048,0.2043,-0.0275,0.7487,0.7212,AnAge
Mustela frenata,0.225,1.344,8.8,0.1358,-0.0156,0.769,-0.0573,0.7117,AnAge
Galago demidoff,0.066,0.3528,14.0,-0.0604,0.2854,-0.3423,1.0461,0.7038,PanTHERIA
Chalinolobus gouldii,0.0142,0.1407,7.8,0.0216,0.1559,0.1224,0.5712,0.6936,AnAge
Dobsonia moluccensis,0.3124,1.411,12.3,0.0539,0.1032,0.3054,0.3781,0.6835,AnAge
Pteropus scapulatus,0.362,1.353,15.8,-0.0105,0.2,-0.0597,0.7329,0.6731,AnAge
Sorex alpinus,0.0078,0.267,1.3,0.4887,-0.5735,2.7682,-2.1017,0.6666,AnAge
Taxidea taxus,9.0,15.062,25.0,0.0278,0.1386,0.1576,0.508,0.6656,AnAge
Perodicticus potto,0.9686,1.942,32.4,-0.1624,0.432,-0.9199,1.5833,0.6635,AnAge
Leptonycteris curasoae,0.0253,0.1903,10.1,-0.0272,0.2216,-0.1543,0.812,0.6577,AnAge
Urogale everetti,0.2606,1.25,11.5,0.0582,0.0887,0.3296,0.325,0.6546,AnAge
Cynopterus brachyotis,0.0372,0.262,10.1,-0.0096,0.1902,-0.0546,0.697,0.6425,AnAge
